letter_association,free_association,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,thisRow.t,notes,trial.started,text.started,slider.started,trial.stopped,slider.response,slider.rt,positive_.started,movie_postive.started,positive_.stopped,letter.started,text_2.started,textbox.started,button.started,mouse.started,letter.stopped,textbox.text,button.numClicks,button.timesOn,button.timesOff,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,free_association_.started,text_3.started,textbox_2.started,button_2.started,mouse_2.started,free_association_.stopped,textbox_2.text,button_2.numClicks,button_2.timesOn,button_2.timesOff,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.time,mouse_2.clicked_name,negative.started,movie_negative.started,negative.stopped,letter_.started,text_4.started,textbox_3.started,button_3.started,mouse_3.started,letter_.stopped,textbox_3.text,button_3.numClicks,button_3.timesOn,button_3.timesOff,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_3.time,mouse_3.clicked_name,free__association_.started,text_5.started,textbox_4.started,button_4.started,mouse_4.started,free__association_.stopped,textbox_4.text,button_4.numClicks,button_4.timesOn,button_4.timesOff,mouse_4.x,mouse_4.y,mouse_4.leftButton,mouse_4.midButton,mouse_4.rightButton,mouse_4.time,mouse_4.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,What are the first three words you think of when imagining your future job?,,,,,0,3,3,1,,,,,,,,,189.8864317999978,,,,,,,,,,,,,,,,,,,,,,,,,,,,189.87181310000597,189.8864317999978,189.8864317999978,189.8864317999978,0.007039199990686029,207.3631694999931,"money , firm , mnc",1,[17.483137300005183],[17.48314600001322],[-0.019444444444444445],[-0.26944444444444443],[1],[0],[0],[17.4831564000051],['button'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,153251,001,2024-11-23_15h42.42.227,Association _task,2024.1.5,None,2024-11-23 15h42.49.621306 +0530,
,What are the first three things that come to mind when you think of family?,,,,,0,4,4,2,,,,,,,,,207.37544020000496,,,,,,,,,,,,,,,,,,,,,,,,,,,,207.3640263999987,207.37544020000496,207.37544020000496,207.37544020000496,0.00421359998290427,226.14804219998769,"mom , home , comfort",1,[18.778791199991247],[18.778798699990148],[0.007407407407407408],[-0.29814814814814816],[1],[0],[0],[18.778908799984492],['button'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,153251,001,2024-11-23_15h42.42.227,Association _task,2024.1.5,None,2024-11-23 15h42.49.621306 +0530,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,226.1486281999969,226.29388869999093,305.1660891000065,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,153251,001,2024-11-23_15h42.42.227,Association _task,2024.1.5,None,2024-11-23 15h42.49.621306 +0530,
Connect three words that begin with 'P' to describe your ideal weekend:,,,,,,,,,,0,0,0,3,,,,,305.3120276000118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,305.28332069999306,305.3120276000118,305.3120276000118,305.3120276000118,0.016894000000320375,334.04962720000185,"peace , paitning, pizza",1,[28.754145599988988],[28.754164699988905],[-0.001851851851851852],[-0.27870370370370373],[1],[0],[0],[28.75442650000332],['button'],,,,,,,,,,,,,,,,,,153251,001,2024-11-23_15h42.42.227,Association _task,2024.1.5,None,2024-11-23 15h42.49.621306 +0530,
Associate three words that begin with 'C' and relate them to your favorite hobby or activity,,,,,,,,,,0,1,1,2,,,,,334.07332699999097,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,334.05140600001323,334.07332699999097,334.07332699999097,334.07332699999097,0.008309900003951043,343.3929768000089,"craft , cooking",1,[9.331602499994915],[9.33161699998891],[-0.1037037037037037],[-0.35833333333333334],[1],[0],[0],[9.331775099999504],['button'],,,,,,,,,,,,,,,,,,153251,001,2024-11-23_15h42.42.227,Association _task,2024.1.5,None,2024-11-23 15h42.49.621306 +0530,
Respond with the first word that comes to mind for the given letters: 'H',,,,,,,,,,0,2,2,4,,,,,343.4152189999877,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,343.3946145999944,343.4152189999877,343.4152189999877,343.4152189999877,0.009317599993664771,356.3164101000002,house,1,[12.910697800019989],[12.910715700010769],[-0.06666666666666667],[-0.2898148148148148],[1],[0],[0],[12.910845299978973],['button'],,,,,,,,,,,,,,,,,,153251,001,2024-11-23_15h42.42.227,Association _task,2024.1.5,None,2024-11-23 15h42.49.621306 +0530,
  Think of three words starting with 'D' that describe your dream vacation destination:,,,,,,,,,,0,3,3,1,,,,,356.34341279999353,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,356.3178376000142,356.34341279999353,356.34341279999353,356.34341279999353,0.009770299977390096,378.3519401999947,"day , dine , dreamy",1,[22.02294460000121],[22.022954499989282],[-0.07037037037037037],[-0.2537037037037037],[1],[0],[0],[22.02293199999258],['button'],,,,,,,,,,,,,,,,,,153251,001,2024-11-23_15h42.42.227,Association _task,2024.1.5,None,2024-11-23 15h42.49.621306 +0530,
  Name three things you can find in a kitchen that start with the letter 'M':,,,,,,,,,,0,4,4,0,,,,,378.3765282999957,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,378.35322109999834,378.3765282999957,378.3765282999957,378.3765282999957,0.0072564999863971025,397.2728605000011,"milk , maggi , masala",1,[18.91120500001125],[18.911212800012436],[-0.11481481481481481],[-0.32222222222222224],[1],[0],[0],[18.91117989999475],['button'],,,,,,,,,,,,,,,,,,153251,001,2024-11-23_15h42.42.227,Association _task,2024.1.5,None,2024-11-23 15h42.49.621306 +0530,
,What three things do you associate with a relaxing evening at home?,,,,,,,,,,,,,0,0,0,4,397.29589070001384,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,397.2782979999902,397.29589070001384,397.29589070001384,397.29589070001384,0.011382500000763685,416.51049069999135,"sleep , netflix , sunset",1,[19.22389120000298],[19.223901299992576],[-0.002777777777777778],[-0.32037037037037036],[1],[0],[0],[19.22398750000866],['button'],153251,001,2024-11-23_15h42.42.227,Association _task,2024.1.5,None,2024-11-23 15h42.49.621306 +0530,
,What are the first three words you think of when imagining your future job?,,,,,,,,,,,,,0,1,1,1,416.5286303999892,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,416.5122333999898,416.5286303999892,416.5286303999892,416.5286303999892,0.0062070999993011355,433.6171093000157,"money , fame , company ",1,[17.09685069997795],[17.096862899983535],[0.12129629629629629],[-0.20277777777777778],[1],[0],[0],[17.097146600019187],['button'],153251,001,2024-11-23_15h42.42.227,Association _task,2024.1.5,None,2024-11-23 15h42.49.621306 +0530,
,What are the first three things that come to mind when you think of family?,,,,,,,,,,,,,0,2,2,2,433.6384690999985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,433.61864840000635,433.6384690999985,433.6384690999985,433.6384690999985,0.007543900021119043,447.54139870000654,"food  , home , dog",1,[13.913820800022222],[13.913830600009533],[0.06759259259259259],[-0.25092592592592594],[1],[0],[0],[13.913890999974683],['button'],153251,001,2024-11-23_15h42.42.227,Association _task,2024.1.5,None,2024-11-23 15h42.49.621306 +0530,
,"give two things when you think of a healthy lifestyle, what activities or habits come to mind?",,,,,,,,,,,,,0,3,3,3,447.5603300000075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,447.5426865000045,447.5603300000075,447.5603300000075,447.5603300000075,0.007821799983503297,461.399504800007,"good sleep , yoga",1,[13.847258499998134],[13.847270400001435],[-0.006481481481481481],[-0.2740740740740741],[1],[0],[0],[13.847436800017022],['button'],153251,001,2024-11-23_15h42.42.227,Association _task,2024.1.5,None,2024-11-23 15h42.49.621306 +0530,
,What are three words that describe your ideal vacation?,,,,,,,,,,,,,0,4,4,0,461.42712000000756,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,461.40093150001485,461.42712000000756,461.42712000000756,461.42712000000756,0.0085042999999132,474.0770049999992,"beach , party , sports",1,[12.66611059999559],[12.666128299984848],[-0.08611111111111111],[-0.27314814814814814],[1],[0],[0],[12.666025600017747],['button'],153251,001,2024-11-23_15h42.42.227,Association _task,2024.1.5,None,2024-11-23 15h42.49.621306 +0530,
