letter_association,free_association,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,thisRow.t,notes,trial.started,text.started,slider.started,trial.stopped,slider.response,slider.rt,positive_.started,movie_postive.started,positive_.stopped,letter.started,text_2.started,textbox.started,button.started,mouse.started,letter.stopped,textbox.text,button.numClicks,button.timesOn,button.timesOff,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,free_association_.started,text_3.started,textbox_2.started,button_2.started,mouse_2.started,free_association_.stopped,textbox_2.text,button_2.numClicks,button_2.timesOn,button_2.timesOff,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.time,mouse_2.clicked_name,negative.started,movie_negative.started,negative.stopped,letter_.started,text_4.started,textbox_3.started,button_3.started,mouse_3.started,letter_.stopped,textbox_3.text,button_3.numClicks,button_3.timesOn,button_3.timesOff,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_3.time,mouse_3.clicked_name,free__association_.started,text_5.started,textbox_4.started,button_4.started,mouse_4.started,free__association_.stopped,textbox_4.text,button_4.numClicks,button_4.timesOn,button_4.timesOff,mouse_4.x,mouse_4.y,mouse_4.leftButton,mouse_4.midButton,mouse_4.rightButton,mouse_4.time,mouse_4.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,What are three words that describe your ideal vacation?,,,,,0,3,3,0,,,,,,,,,201.36943059999612,,,,,,,,,,,,,,,,,,,,,,,,,,,,201.35916059999727,201.36943059999612,201.36943059999612,201.36943059999612,0.0034232000180054456,216.21305459999712,"beach , food ,party",0,,,[-0.07962962962962963],[0.008333333333333333],[1],[0],[0],[14.849870400008513],[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,particpant 2,001,2024-11-23_15h19.03.416,Association _task,2024.1.5,None,2024-11-23 15h19.21.849546 +0530,
,What three things do you associate with a relaxing evening at home?,,,,,0,4,4,4,,,,,,,,,216.226899900008,,,,,,,,,,,,,,,,,,,,,,,,,,,,216.21404550000443,216.226899900008,216.226899900008,216.226899900008,0.005368999991333112,227.34205080001266,"sleep , food , reading",1,[11.121553500008304],[11.121567199996207],[0.008333333333333333],[-0.31851851851851853],[1],[0],[0],[11.12164880000637],['button'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,particpant 2,001,2024-11-23_15h19.03.416,Association _task,2024.1.5,None,2024-11-23 15h19.21.849546 +0530,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,227.34278320000158,227.48730290000094,306.505358800001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,particpant 2,001,2024-11-23_15h19.03.416,Association _task,2024.1.5,None,2024-11-23 15h19.21.849546 +0530,
Respond with the first word that comes to mind for the given letters: 'H',,,,,,,,,,0,0,0,4,,,,,306.6325499000086,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,306.6180788000056,306.6325499000086,306.6325499000086,306.6325499000086,0.009366199985379353,316.66371339999023,hustle,1,[10.03959699999541],[10.039603199984413],[0.008333333333333333],[-0.31851851851851853],[1],[0],[0],[10.039752199983923],['button'],,,,,,,,,,,,,,,,,,particpant 2,001,2024-11-23_15h19.03.416,Association _task,2024.1.5,None,2024-11-23 15h19.21.849546 +0530,
  Name three things you can find in a kitchen that start with the letter 'M':,,,,,,,,,,0,1,1,0,,,,,316.6794530999905,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,316.66457079999964,316.6794530999905,316.6794530999905,316.6794530999905,0.0036368999863043427,329.2391884000099,mug mustard ,1,[12.57013820001157],[12.570144600002095],[0.01574074074074074],[-0.26666666666666666],[1],[0],[0],[12.570213599974522],['button'],,,,,,,,,,,,,,,,,,particpant 2,001,2024-11-23_15h19.03.416,Association _task,2024.1.5,None,2024-11-23 15h19.21.849546 +0530,
  Think of three words starting with 'D' that describe your dream vacation destination:,,,,,,,,,,0,2,2,1,,,,,329.25465310001164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,329.23986220001825,329.25465310001164,329.25465310001164,329.25465310001164,0.006140000012237579,351.9799013000156,"daisy , dreamy , diverse",1,[22.73281649997807],[22.73283189997892],[0.03888888888888889],[-0.2935185185185185],[1],[0],[0],[22.733029199996963],['button'],,,,,,,,,,,,,,,,,,particpant 2,001,2024-11-23_15h19.03.416,Association _task,2024.1.5,None,2024-11-23 15h19.21.849546 +0530,
Associate three words that begin with 'C' and relate them to your favorite hobby or activity,,,,,,,,,,0,3,3,2,,,,,351.99353659999906,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,351.98085670001456,351.99353659999906,351.99353659999906,351.99353659999906,0.005466400005389005,370.1349943999958,"cooking , craft",1,[18.14789279998513],[18.147905499994522],[0.058333333333333334],[-0.3574074074074074],[1],[0],[0],[18.14803199999733],['button'],,,,,,,,,,,,,,,,,,particpant 2,001,2024-11-23_15h19.03.416,Association _task,2024.1.5,None,2024-11-23 15h19.21.849546 +0530,
Connect three words that begin with 'P' to describe your ideal weekend:,,,,,,,,,,0,4,4,3,,,,,370.1492921000172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,370.13601149999886,370.1492921000172,370.1492921000172,370.1492921000172,0.0054462999978568405,395.9981014000077,"picnic , painting",1,[25.856073400005698],[25.856082899990724],[0.06018518518518518],[-0.2833333333333333],[1],[0],[0],[25.856125999998767],['button'],,,,,,,,,,,,,,,,,,particpant 2,001,2024-11-23_15h19.03.416,Association _task,2024.1.5,None,2024-11-23 15h19.21.849546 +0530,
,What three things do you associate with a relaxing evening at home?,,,,,,,,,,,,,0,0,0,4,396.01485959999263,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,396.001803799998,396.01485959999263,396.01485959999263,396.01485959999263,0.006726599996909499,421.4812082000135,"sleep , reading , writing",1,[25.474855200009188],[25.474864899995737],[0.040740740740740744],[-0.2824074074074074],[1],[0],[0],[25.474938600003952],['button'],particpant 2,001,2024-11-23_15h19.03.416,Association _task,2024.1.5,None,2024-11-23 15h19.21.849546 +0530,
,What are three words that describe your ideal vacation?,,,,,,,,,,,,,0,1,1,0,421.49569129999145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,421.48220540001057,421.49569129999145,421.49569129999145,421.49569129999145,0.004364699998404831,459.57347140001366,"sunny ,  snow , mountain",1,[38.08592189999763],[38.085931200010236],[0.03425925925925926],[-0.2861111111111111],[1],[0],[0],[38.08597089999239],['button'],particpant 2,001,2024-11-23_15h19.03.416,Association _task,2024.1.5,None,2024-11-23 15h19.21.849546 +0530,
,What are the first three things that come to mind when you think of family?,,,,,,,,,,,,,0,2,2,2,459.58923869999126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,459.57424740001443,459.58923869999126,459.58923869999126,459.58923869999126,0.005524700012756512,473.7324312000128,"mom , dad , sister",1,[14.151659900002414],[14.151680000009947],[0.03425925925925926],[-0.2861111111111111],[1],[0],[0],[14.151866300002439],['button'],particpant 2,001,2024-11-23_15h19.03.416,Association _task,2024.1.5,None,2024-11-23 15h19.21.849546 +0530,
,What are the first three words you think of when imagining your future job?,,,,,,,,,,,,,0,3,3,1,473.746063700004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,473.73300539999036,473.746063700004,473.746063700004,473.746063700004,0.003568899992387742,497.60095930000534,"money , time ",1,[23.862739200005308],[23.862753600027645],[-0.012962962962962963],[-0.3638888888888889],[1],[0],[0],[23.86302260000957],['button'],particpant 2,001,2024-11-23_15h19.03.416,Association _task,2024.1.5,None,2024-11-23 15h19.21.849546 +0530,
,"give two things when you think of a healthy lifestyle, what activities or habits come to mind?",,,,,,,,,,,,,0,4,4,3,497.61732009999105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,497.60247050001635,497.61732009999105,497.61732009999105,497.61732009999105,0.007009400025708601,530.7466209999984,"exercise , food",1,[33.13628099998459],[33.1362889999873],[-0.026851851851851852],[-0.22314814814814815],[1],[0],[0],[33.13617370001157],['button'],particpant 2,001,2024-11-23_15h19.03.416,Association _task,2024.1.5,None,2024-11-23 15h19.21.849546 +0530,
