study_word,t_word,reference,old_new,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,text.started,slider.started,trial.stopped,slider.response,slider.rt,test.started,text_2.started,textbox.started,text_3.started,mouse.started,test.stopped,textbox.text,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,expStart,
board,,,,0,10,10,4,,,,,25.050547799968626,,25.031730199989397,25.050547799968626,25.050547799968626,30.95996659999946,1.0148148148148148,5.903214599995408,,,,,,,,,,,,,,,844834,001,2024-10-31_11h54.46.562,priming_exp,2024.1.5,None,2024-10-31 11h54.55.855948 +0530,
phone ,,,,0,11,11,2,,,,,30.97554819996003,,30.960179599991534,30.97554819996003,30.97554819996003,38.937337399984244,1.0148148148148148,7.956040800025221,,,,,,,,,,,,,,,844834,001,2024-10-31_11h54.46.562,priming_exp,2024.1.5,None,2024-10-31 11h54.55.855948 +0530,
cushion ,,,,0,12,12,1,,,,,38.95190549996914,,38.93755449994933,38.95190549996914,38.95190549996914,43.26853469997877,1.0148148148148148,4.310207100003026,,,,,,,,,,,,,,,844834,001,2024-10-31_11h54.46.562,priming_exp,2024.1.5,None,2024-10-31 11h54.55.855948 +0530,
t-shirt ,,,,0,13,13,7,,,,,43.28232379996916,,43.26877649995731,43.28232379996916,43.28232379996916,44.85051189997466,1.0148148148148148,1.561425199965015,,,,,,,,,,,,,,,844834,001,2024-10-31_11h54.46.562,priming_exp,2024.1.5,None,2024-10-31 11h54.55.855948 +0530,
chart ,,,,0,14,14,6,,,,,44.86420759995235,,44.85075479996158,44.86420759995235,44.86420759995235,48.031867899990175,4.985185185185185,3.160932300030254,,,,,,,,,,,,,,,844834,001,2024-10-31_11h54.46.562,priming_exp,2024.1.5,None,2024-10-31 11h54.55.855948 +0530,
,p_nc_l,pencil ,new ,,,,,0,0,0,16,48.05121889995644,,,,,,,,48.03713630000129,48.05121889995644,48.05121889995644,48.05121889995644,0.008915999962482601,57.59262759995181,pencil,"[-0.07685185185185185, -0.03796296296296296, -0.004629629629629629]","[-0.3861111111111111, -0.33611111111111114, -0.31574074074074077]","[1, 1, 1]","[0, 0, 0]","[0, 0, 0]","[7.450903999968432, 8.433205999957863, 9.55129339999985]",['text_3'],844834,001,2024-10-31_11h54.46.562,priming_exp,2024.1.5,None,2024-10-31 11h54.55.855948 +0530,
,l_pt_p,laptop,old,,,,,0,1,1,0,57.60635019995971,,,,,,,,57.59346869995352,57.60635019995971,57.60635019995971,57.60635019995971,0.0020795000018551946,64.52428409998538,laptop,[0.12314814814814815],[-0.2935185185185185],[1],[0],[0],[6.928334600001108],['text_3'],844834,001,2024-10-31_11h54.46.562,priming_exp,2024.1.5,None,2024-10-31 11h54.55.855948 +0530,
,K_y_,keys ,old,,,,,0,2,2,8,64.53525489999447,,,,,,,,64.52493529999629,64.53525489999447,64.53525489999447,64.53525489999447,0.0035706000053323805,70.96552619995782,keys,[0.024074074074074074],[-0.30648148148148147],[1],[0],[0],[6.436733499984257],['text_3'],844834,001,2024-10-31_11h54.46.562,priming_exp,2024.1.5,None,2024-10-31 11h54.55.855948 +0530,
,_ru_se,cruise ,old,,,,,0,3,3,6,70.981161099975,,,,,,,,70.9660889999941,70.981161099975,70.981161099975,70.981161099975,0.0022342000156641006,71.78251709998585,,[0.024074074074074074],[-0.30648148148148147],[1],[0],[0],[0.813893900020048],['text_3'],844834,001,2024-10-31_11h54.46.562,priming_exp,2024.1.5,None,2024-10-31 11h54.55.855948 +0530,
,P_str_,pastry ,old,,,,,0,4,4,4,71.7973564999993,,,,,,,,71.78305529995123,71.7973564999993,71.7973564999993,71.7973564999993,0.00342700001783669,81.3140882999869,pastry,[0.07592592592592592],[-0.29444444444444445],[1],[0],[0],[9.526951599982567],['text_3'],844834,001,2024-10-31_11h54.46.562,priming_exp,2024.1.5,None,2024-10-31 11h54.55.855948 +0530,
,c_s_,case,old,,,,,0,5,5,5,81.32569729996612,,,,,,,,81.31572409998626,81.32569729996612,81.32569729996612,81.32569729996612,0.0028689999599009752,85.82828779995907,case,[-0.03796296296296296],[-0.29814814814814816],[1],[0],[0],[4.509296000003815],['text_3'],844834,001,2024-10-31_11h54.46.562,priming_exp,2024.1.5,None,2024-10-31 11h54.55.855948 +0530,
,_ha_t,chart,old,,,,,0,6,6,1,85.83842519996688,,,,,,,,85.82908649998717,85.83842519996688,85.83842519996688,85.83842519996688,0.003042199998162687,92.86986209999304,chart,[0.1259259259259259],[-0.28055555555555556],[1],[0],[0],[7.037443800014444],['text_3'],844834,001,2024-10-31_11h54.46.562,priming_exp,2024.1.5,None,2024-10-31 11h54.55.855948 +0530,
,T_hi_it,t-shirt ,old,,,,,0,7,7,2,92.88457719999133,,,,,,,,92.87094910000451,92.88457719999133,92.88457719999133,92.88457719999133,0.0032459000358358026,98.58263499999885,tshirt,[0.1259259259259259],[-0.28055555555555556],[1],[0],[0],[5.707999899983406],['text_3'],844834,001,2024-10-31_11h54.46.562,priming_exp,2024.1.5,None,2024-10-31 11h54.55.855948 +0530,
,P_st_r,poster,old,,,,,0,8,8,9,98.59701779996976,,,,,,,,98.5831434999709,98.59701779996976,98.59701779996976,98.59701779996976,0.0017799999914132059,107.81102329998976,poster,"[0.09259259259259259, 0.10185185185185185]","[-0.262037037037037, -0.2740740740740741]","[1, 1]","[0, 0]","[0, 0]","[8.394681699981447, 9.225795699981973]",['text_3'],844834,001,2024-10-31_11h54.46.562,priming_exp,2024.1.5,None,2024-10-31 11h54.55.855948 +0530,
,c_m_ra,camera,new ,,,,,0,9,9,19,107.82470569998259,,,,,,,,107.81150089995936,107.82470569998259,107.82470569998259,107.82470569998259,0.0018241999787278473,113.98988099995768,camera,[0.03981481481481482],[-0.3175925925925926],[1],[0],[0],[6.176211200014222],['text_3'],844834,001,2024-10-31_11h54.46.562,priming_exp,2024.1.5,None,2024-10-31 11h54.55.855948 +0530,
,ta_l_,table,new,,,,,0,10,10,15,114.00400939997053,,,,,,,,113.99038859998109,114.00400939997053,114.00400939997053,114.00400939997053,0.0022277000243775547,123.26599210000131,table,"[-0.04722222222222222, -0.006481481481481481]","[-0.3296296296296296, -0.3138888888888889]","[1, 1]","[0, 0]","[0, 0]","[7.061380600032862, 9.272764699999243]",['text_3'],844834,001,2024-10-31_11h54.46.562,priming_exp,2024.1.5,None,2024-10-31 11h54.55.855948 +0530,
,c_s_io_,cushion ,old,,,,,0,11,11,14,123.28161619999446,,,,,,,,123.26662919996306,123.28161619999446,123.28161619999446,123.28161619999446,0.0029839000198990107,130.21140309999464,cushion,[0.028703703703703703],[-0.31296296296296294],[1],[0],[0],[6.9413197000394575],['text_3'],844834,001,2024-10-31_11h54.46.562,priming_exp,2024.1.5,None,2024-10-31 11h54.55.855948 +0530,
,_o_rd,board ,old,,,,,0,12,12,10,130.22711439995328,,,,,,,,130.2125363999512,130.22711439995328,130.22711439995328,130.22711439995328,0.0031373000238090754,135.4743679999956,,[-0.023148148148148147],[-0.30462962962962964],[1],[0],[0],[5.258563800016418],['text_3'],844834,001,2024-10-31_11h54.46.562,priming_exp,2024.1.5,None,2024-10-31 11h54.55.855948 +0530,
,v_s_,vase,new ,,,,,0,13,13,17,135.49048709997442,,,,,,,,135.4748227999662,135.49048709997442,135.49048709997442,135.49048709997442,0.004296099999919534,140.571949199948,vase,[0.07777777777777778],[-0.29814814814814816],[1],[0],[0],[5.092126800038386],['text_3'],844834,001,2024-10-31_11h54.46.562,priming_exp,2024.1.5,None,2024-10-31 11h54.55.855948 +0530,
,_ou_e,mouse,old,,,,,0,14,14,3,140.58716999995522,,,,,,,,140.57261659996584,140.58716999995522,140.58716999995522,140.58716999995522,0.0031976000173017383,146.7369505999959,mouse,[0.05462962962962963],[-0.31666666666666665],[1],[0],[0],[6.16034679999575],['text_3'],844834,001,2024-10-31_11h54.46.562,priming_exp,2024.1.5,None,2024-10-31 11h54.55.855948 +0530,
,_ho_e,phone ,old,,,,,0,15,15,12,146.749977200001,,,,,,,,146.73780809994787,146.749977200001,146.749977200001,146.749977200001,0.003237999975681305,155.11321469995892,,[0.05462962962962963],[-0.31666666666666665],[1],[0],[0],[8.37189920002129],['text_3'],844834,001,2024-10-31_11h54.46.562,priming_exp,2024.1.5,None,2024-10-31 11h54.55.855948 +0530,
,_oo_,book ,old,,,,,0,16,16,13,155.127955199976,,,,,,,,155.11369279999053,155.127955199976,155.127955199976,155.127955199976,0.0016565999831072986,159.57653369999025,book,[0.05462962962962963],[-0.31666666666666665],[1],[0],[0],[4.460412000014912],['text_3'],844834,001,2024-10-31_11h54.46.562,priming_exp,2024.1.5,None,2024-10-31 11h54.55.855948 +0530,
,bo_t_e,bottle ,new ,,,,,0,17,17,18,159.5916270999587,,,,,,,,159.57734759995947,159.5916270999587,159.5916270999587,159.5916270999587,0.0029904000111855567,165.42265389999375,bottle,[0.05462962962962963],[-0.31666666666666665],[1],[0],[0],[5.842030600004364],['text_3'],844834,001,2024-10-31_11h54.46.562,priming_exp,2024.1.5,None,2024-10-31 11h54.55.855948 +0530,
,P_li_e,police,old,,,,,0,18,18,7,165.4378391999635,,,,,,,,165.4231791999773,165.4378391999635,165.4378391999635,165.4378391999635,0.0022176000056788325,174.13452839996899,police,[0.05462962962962963],[-0.31574074074074077],[1],[0],[0],[8.708809600037057],['text_3'],844834,001,2024-10-31_11h54.46.562,priming_exp,2024.1.5,None,2024-10-31 11h54.55.855948 +0530,
,_a_bl_,marble ,old,,,,,0,19,19,11,174.14903709996725,,,,,,,,174.1349976999918,174.14903709996725,174.14903709996725,174.14903709996725,0.0022166999988257885,182.36180169996805,table,"[0.06666666666666667, 0.06759259259259259, 0.05925925925925926]","[-0.3314814814814815, -0.3287037037037037, -0.30092592592592593]","[1, 1, 1]","[0, 0, 0]","[0, 0, 0]","[5.679139700019732, 6.992804299981799, 8.224038799991831]",['text_3'],844834,001,2024-10-31_11h54.46.562,priming_exp,2024.1.5,None,2024-10-31 11h54.55.855948 +0530,
